side,price,quantity,pnl,fee,hour,day_of_week,minute,price_change,price_volatility,price_sma_5,price_sma_20,volume_change,volume_sma,price_momentum_5,price_momentum_20,price_high_10,price_low_10,price_position,is_long,is_short,notional_value,net_result,is_profitable,is_loss,is_breakeven,fee_ratio,fee_to_pnl_ratio,rolling_pnl_5,rolling_pnl_20,rolling_winrate_10,rolling_winrate_50,win_streak,loss_streak,position_size_zscore
BUY,117810.8,0.008454736,-1.310315,0.0,13,2,17,0.0,102.6153400053546,117974.84,118080.606,0.0,0.008464378,-0.0008921605210488576,-0.002507050815828637,118084.2,117810.8,0.0,1,0,996.0592119487999,-1.310315,0,1,0,0.0,0.0,-2.62063,-1.5722128999999998,0.1,0.0677456647398844,0,9,-2.2644743924496766
BUY,117803.7,0.008488698,0.0,0.4,13,2,24,-6.0266121612029266e-05,113.84844391642126,117918.73999999999,118056.54149999998,0.004016920220808906,0.0084656896,-0.002375423638386846,-0.004068901726246146,118084.2,117803.7,0.0,1,0,1000.0000325825999,-0.4,0,1,0,0.0003999999869669605,inf,-2.62063,-4.1063273,0.0,0.0677456647398844,0,10,0.46275656210776855
BUY,117803.7,0.008488698,0.0,0.4,13,2,24,0.0,121.69327104546228,117862.63999999998,118032.477,0.0,0.0084690858,-0.002375423638386846,-0.004068901726246146,118084.2,117803.7,0.0,1,0,1000.0000325825999,-0.4,0,1,0,0.0003999999869669605,inf,-2.62063,-4.1063273,0.0,0.0677456647398844,0,11,0.45697416095505117
BUY,117786.67,0.008468534,2.5196428,0.39899218,13,2,45,-0.00014456252222971866,128.49550861570614,117803.134,118007.9655,-0.00237539372940343,0.008470465600000001,-0.002519642763384084,-0.004144765376840245,118084.2,117786.67,0.0,1,0,997.4804196417799,2.12065062,1,0,0,0.0004000000121739613,0.15835267602217265,-0.10098719999999961,-1.5866845,0.1,0.0677456647398844,1,0,-1.2842722845784897
BUY,117786.67,0.008468534,0.0,0.39899218,13,2,45,0.0,134.20900344018415,117798.308,117983.45399999998,0.0,0.0084701364,-0.00020481993161921197,-0.004144765376840245,118084.2,117786.67,0.0,1,0,997.4804196417799,-0.39899218,0,1,0,0.0004000000121739613,inf,1.2093278000000003,-1.5866844999999996,0.1,0.08,0,1,-1.2507448984109764
BUY,117786.67,0.008468534,0.0,0.39899218,13,2,45,0.0,138.35217040005372,117793.482,117958.9425,0.0,0.0084698072,-0.00020481993161921197,-0.004144765376840245,118084.2,117786.67,0.0,1,0,997.4804196417799,-0.39899218,0,1,0,0.0004000000121739613,inf,2.5196428,-1.5866844999999996,0.1,0.08,0,2,-1.2004570278154816
BUY,117593.1,0.008488698,-1.7877198,0.0,13,2,49,-0.0016433947916176805,146.38415620459554,117751.362,117925.97249999999,0.0023810496598348774,0.0084718236,-0.0017877197405513686,-0.005576203462928853,118084.2,117593.1,0.0,1,0,998.2123127838,-1.7877198,0,1,0,0.0,0.0,0.7319230000000001,-3.3744042999999997,0.1,0.08,0,3,-0.6716639901318593
BUY,117593.1,0.008488698,-1.7877198,0.0,13,2,49,0.0,135.4835094063387,117709.24200000001,117897.9375,0.0,0.00847384,-0.0017877197405513686,-0.004745509666214689,118084.2,117593.1,0.0,1,0,998.2123127838,-1.7877198,0,1,0,0.0,0.0,-1.0557968,-4.1213461,0.1,0.08,0,4,-0.6463877225878881
BUY,117593.1,0.008468534,-1.6392541,0.0,13,2,49,0.0,99.61778683740982,117670.528,117871.3425,-0.00237539372940343,0.00847384,-0.001643394791617697,-0.004502857142857093,117810.8,117593.1,0.0,1,0,995.8411655154,-1.6392541,0,1,0,0.0,0.0,-5.2146937,-4.6823989,0.1,0.08,0,5,-2.1159471537811356
BUY,117593.1,0.008468534,-1.6392541,0.0,13,2,49,0.0,105.2833159144202,117631.81400000001,117849.08249999999,0.0,0.0084752198,-0.001643394791617697,-0.003771657165513203,117810.8,117593.1,0.0,1,0,995.8411655154,-1.6392541,0,1,0,0.0,0.0,-6.8539478,-6.3216529999999995,0.1,0.08,0,6,-1.982911996756747
BUY,117538.5,0.008507851,0.0,0.4,13,2,54,-0.0004643129571378912,112.72103771374972,117582.18000000001,117824.0925,0.004642716200938812,0.0084805313,-0.002106944699260097,-0.0042342188933592135,117803.7,117538.5,0.0,1,0,1000.0000447635,-0.4,0,1,0,0.00039999998209460085,inf,-6.8539478,-6.3216529999999995,0.1,0.08,0,7,0.6367252621662078
