future_profitable,future_price_up,future_long_bias,future_volatility,future_pnl,future_net_result
0.0,1,0.8,57.034674365201866,0.0,-0.4
0.0,1,0.6,57.332782942611985,0.0,-0.4
0.0,0,0.6,57.869439257217465,-1.0969671,-1.0969671
0.0,0,0.6,70.87529894077274,-1.0969671,-1.0969671
0.0,0,0.6,129.9107847714788,0.0,-0.4
0.0,0,0.8,136.77265808610676,0.0,-0.4
0.0,0,1.0,102.53366276465235,0.0,-0.4
1.0,0,1.0,83.18654230062533,2.6414528,2.24250938
0.0,0,1.0,2.744090000733433,0.0,-0.39894342
1.0,1,0.8,154.50800830357355,2.9576268,2.55644373
0.0,1,0.6,188.76175189890114,0.0,-0.40118307
0.0,1,0.4,187.8359738706849,0.0,-0.40118307
0.0,1,0.2,153.36743044060688,0.0,-0.4001063
0.0,1,0.2,50.15500473489668,0.0,-0.4
0.0,0,0.4,61.42708482383802,0.0,-0.4
0.0,0,0.6,97.4720511221002,-1.0366403,-1.0366403
0.0,0,0.8,98.67280527047127,-1.0366403,-1.0366403
0.0,0,1.0,78.66726129680373,0.0,-0.4
0.0,0,1.0,70.30123042974589,0.0,-0.4
1.0,0,1.0,36.160752480162266,2.7025373,2.30243525
0.0,0,1.0,34.28475214915982,0.0,-0.40010205
0.0,0,1.0,18.56231747187837,0.0,-0.39902818
0.0,1,0.8,18.672397540939944,0.0,-0.4
0.0,1,0.6,18.78140649490872,0.0,-0.4
0.0,1,0.4,65.9701950120733,-1.0644869,-1.0644869
0.0,1,0.2,76.18723790724013,-1.0644869,-1.0644869
0.0,1,0.0,62.651759751311296,0.0,-0.4
0.0,1,0.0,53.64142988341257,0.0,-0.4
0.0,1,0.0,51.82557283756149,-1.0844338,-1.0844338
0.0,1,0.0,76.22321168741159,-1.4128876,-1.4128876
1.0,1,0.0,101.08999020649291,2.3643923,1.96322875
0.0,1,0.0,95.81483094988809,0.0,-0.40008685
1.0,0,0.2,133.33392377768246,2.715799,2.31679847
